Mode,DominantFreq_Hz,EnergyRatio,SignalCorrelation,EventCorrelation,EventEnergyRatio,ArtifactEnergyRatio,SpectralEntropy,Kurtosis,TemporalContinuity,PhysioKeepScore,Selected,InputSignal
1,5.1817767276169285e-05,0.7058084671851154,0.8745313341772697,0.4988041281020974,0.2043000869614719,0.06205993687077107,0.3108026079622136,6.694341781997551,0.9998285659139343,0.4781851078562776,True,Pressure_Preclean
2,0.021970733325095776,0.09361888515145764,0.42149462366914653,0.7377244951173593,0.422051552811591,0.06081438201168047,0.6288369919925222,17.54898153491817,0.9782591551572952,0.3692060980833892,True,Pressure_Preclean
3,0.048656883472322957,0.02404826812225005,0.2557270244846435,0.43577971232254126,0.3238711129464155,0.05325689604943751,0.667361763693044,16.919078828318007,0.8852651338805622,0.22266158003876171,True,Pressure_Preclean
4,0.0877274799985546,0.0194797549871372,0.20912731259637232,0.37504273011443406,0.2509869938955193,0.05345773727752529,0.6612808216178282,17.459520304501673,0.7172074137298137,0.15118140534864816,False,Pressure_Preclean
5,0.11332545703298223,0.00906612342824275,0.16131997959675404,0.2958714387126987,0.16842154603458379,0.03588786810682754,0.6836261207285718,13.204049757456675,0.5860628537118929,0.1199186056326092,False,Pressure_Preclean
1,5.1817767276169285e-05,0.711418350387202,0.8779613746597311,0.4916888427661907,0.20416734390341892,0.06204443173562218,0.3106818773714281,6.691321915706517,0.9998300281510155,0.477078912110217,True,Pressure_Clean
2,0.021970733325095776,0.09434720094110123,0.42324125140002733,0.7342187467673994,0.421614288144314,0.0607898970953622,0.6285403932399957,17.51298727718223,0.9783836395980917,0.3720171008725047,True,Pressure_Clean
3,0.048656883472322957,0.024129040270144727,0.2567876127927006,0.4369126913622737,0.325043132556736,0.052876414377041686,0.6670556485766763,16.75409781675254,0.8870122187938239,0.22832007567147894,True,Pressure_Clean
4,0.0877274799985546,0.01899156152012235,0.208007413257561,0.3713022310777446,0.2561231712871208,0.05374822375712772,0.661718915520667,18.0232367192814,0.7208468327055734,0.15086383770855816,False,Pressure_Clean
5,0.11332545703298223,0.00892710362583598,0.15879813707553717,0.3057016585842432,0.17653141357319702,0.03880776401777016,0.6809210267154909,14.40012699615044,0.5933709314380075,0.11710916916118413,False,Pressure_Clean
